Fecha,Último
11/9/15,"4.227,70"
10/9/15,"4.287,40"
9/9/15,"4.229,90"
8/9/15,"4.257,60"
7/9/15,"4.245,10"
4/9/15,"4.247,40"
3/9/15,"4.395,00"
2/9/15,"4.306,80"
1/9/15,"4.238,20"
31/08/2015,"4.277,20"
28/08/2015,"4.205,10"
27/08/2015,"4.227,30"
26/08/2015,"4.092,60"
25/08/2015,"4.119,40"
24/08/2015,"4.107,00"
21/08/2015,"4.245,90"
20/08/2015,"4.346,50"
19/08/2015,"4.376,40"
18/08/2015,"4.376,70"
17/08/2015,"4.378,50"
14/08/2015,"4.408,00"
13/08/2015,"4.370,10"
12/8/15,"4.365,60"
11/8/15,"4.352,20"
10/8/15,"4.385,00"
7/8/15,"4.356,80"
6/8/15,"4.402,00"
5/8/15,"4.393,90"
4/8/15,"4.387,20"
3/8/15,"4.342,20"
31/07/2015,"4.388,30"
30/07/2015,"4.301,60"
29/07/2015,"4.278,90"
28/07/2015,"4.183,70"
27/07/2015,"4.224,30"
24/07/2015,"4.353,90"
23/07/2015,"4.358,10"
22/07/2015,"4.376,70"
21/07/2015,"4.400,00"
20/07/2015,"4.360,30"
17/07/2015,"4.371,50"
15/07/2015,"4.407,80"
14/07/2015,"4.464,00"
13/07/2015,"4.442,10"
10/7/15,"4.370,00"
9/7/15,"4.204,70"
8/7/15,"4.185,20"
7/7/15,"4.261,80"
6/7/15,"4.276,50"
3/7/15,"4.397,40"
2/7/15,"4.394,60"
1/7/15,"4.403,00"
30/06/2015,"4.466,60"
26/06/2015,"4.514,90"
25/06/2015,"4.476,60"
24/06/2015,"4.562,30"
23/06/2015,"4.621,30"
22/06/2015,"4.600,80"
19/06/2015,"4.576,80"
18/06/2015,"4.623,60"
17/06/2015,"4.620,10"
16/06/2015,"4.596,40"
15/06/2015,"4.561,70"
12/6/15,"4.612,70"
11/6/15,"4.645,50"
10/6/15,"4.582,70"
9/6/15,"4.434,70"
8/6/15,"4.536,00"
5/6/15,"4.610,00"
4/6/15,"4.614,60"
3/6/15,"4.631,90"
2/6/15,"4.676,40"
1/6/15,"4.688,70"
29/05/2015,"4.641,30"
28/05/2015,"4.731,40"
27/05/2015,"4.716,40"
26/05/2015,"4.669,80"
25/05/2015,"4.670,00"
22/05/2015,"4.665,50"
20/05/2015,"4.647,50"
19/05/2015,"4.674,00"
18/05/2015,"4.636,20"
15/05/2015,"4.647,70"
14/05/2015,"4.689,60"
13/05/2015,"4.757,80"
12/5/15,"4.944,10"
11/5/15,"4.975,80"
8/5/15,"4.842,30"
7/5/15,"4.817,40"
6/5/15,"4.942,50"
5/5/15,"4.812,30"
4/5/15,"4.752,50"
30/04/2015,"4.771,20"
29/04/2015,"4.780,60"
28/04/2015,"4.910,30"
27/04/2015,"4.965,60"
24/04/2015,"4.822,70"
23/04/2015,"4.813,60"
22/04/2015,"4.798,70"
21/04/2015,"4.811,30"
20/04/2015,"4.873,10"
17/04/2015,"4.894,10"
16/04/2015,"4.936,60"
15/04/2015,"4.956,50"
14/04/2015,"4.877,90"
13/04/2015,"4.910,70"
10/4/15,"4.902,50"
9/4/15,"4.985,20"
8/4/15,"4.996,50"
7/4/15,"4.913,30"
6/4/15,"4.833,30"
2/4/15,"4.780,20"
1/4/15,"4.811,00"
31/03/2015,"4.777,10"
30/03/2015,"4.702,80"
27/03/2015,"4.621,90"
26/03/2015,"4.522,70"
25/03/2015,"4.502,60"
24/03/2015,"4.530,10"
23/03/2015,"4.543,40"
20/03/2015,"4.581,90"
19/03/2015,"4.509,40"
18/03/2015,"4.527,50"
17/03/2015,"4.425,40"
16/03/2015,"4.319,30"
13/03/2015,"4.306,10"
12/3/15,"4.410,30"
11/3/15,"4.386,90"
10/3/15,"4.433,20"
9/3/15,"4.526,60"
6/3/15,"4.551,30"
5/3/15,"4.526,60"
4/3/15,"4.577,40"
3/3/15,"4.400,50"
2/3/15,"4.369,10"
27/02/2015,"4.486,30"
26/02/2015,"4.492,80"
25/02/2015,"4.513,30"
24/02/2015,"4.573,10"
23/02/2015,"4.573,70"
20/02/2015,"4.510,90"
19/02/2015,"4.460,20"
18/02/2015,"4.386,40"
17/02/2015,"4.366,00"
16/02/2015,"4.454,40"
13/02/2015,"4.430,60"
12/2/15,"4.401,70"
11/2/15,"4.332,70"
10/2/15,"4.334,10"
9/2/15,"4.340,40"
6/2/15,"4.394,20"
5/2/15,"4.218,30"
4/2/15,"4.171,20"
3/2/15,"4.212,20"
2/2/15,"4.196,60"
30/01/2015,"4.156,50"
29/01/2015,"4.135,40"
28/01/2015,"4.020,50"
27/01/2015,"4.060,20"
26/01/2015,"4.042,00"
23/01/2015,"4.056,40"
22/01/2015,"4.008,20"
21/01/2015,"3.922,60"
20/01/2015,"3.812,70"
19/01/2015,"3.744,70"
16/01/2015,"3.773,30"
15/01/2015,"3.819,20"
14/01/2015,"3.895,00"
13/01/2015,"3.963,50"
12/1/15,"4.000,50"
9/1/15,"4.006,10"
8/1/15,"3.979,10"
7/1/15,"3.945,20"
6/1/15,"3.973,50"
5/1/15,"4.007,30"
2/1/15,"4.083,50"
30/12/2014,"4.071,40"
29/12/2014,"4.058,00"
26/12/2014,"4.014,20"
24/12/2014,"4.017,40"
23/12/2014,"4.037,30"
22/12/2014,"4.039,40"
19/12/2014,"4.020,70"
18/12/2014,"4.102,60"
17/12/2014,"4.074,30"
16/12/2014,"4.009,10"
15/12/2014,"4.047,00"
12/12/14,"4.172,30"
11/12/14,"4.200,50"
10/12/14,"4.175,70"
9/12/14,"4.234,40"
5/12/14,"4.276,30"
4/12/14,"4.169,50"
3/12/14,"4.235,40"
2/12/14,"4.243,30"
1/12/14,"4.318,30"
28/11/2014,"4.365,20"
27/11/2014,"4.365,80"
26/11/2014,"4.311,90"
25/11/2014,"4.401,50"
24/11/2014,"4.384,80"
21/11/2014,"4.397,10"
20/11/2014,"4.384,10"
19/11/2014,"4.346,50"
18/11/2014,"4.321,00"
17/11/2014,"4.369,60"
14/11/2014,"4.462,00"
13/11/2014,"4.469,30"
12/11/14,"4.420,30"
11/11/14,"4.291,70"
10/11/14,"4.284,00"
7/11/14,"4.264,30"
6/11/14,"4.273,30"
5/11/14,"4.287,40"
4/11/14,"4.307,20"
3/11/14,"4.318,20"
30/10/2014,"4.218,40"
29/10/2014,"4.144,80"
28/10/2014,"4.124,50"
27/10/2014,"4.104,10"
24/10/2014,"4.114,30"
23/10/2014,"4.138,00"
22/10/2014,"4.191,50"
21/10/2014,"4.223,60"
